City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Manali,IN,13.1667,80.2667,298.2,72,97,6.3,overcast clouds
285,Bonavista,CA,48.6499,-53.1147,289.15,72,20,6.29,few clouds
286,Sept-Iles,CA,50.2001,-66.3821,288.39,92,90,0.45,overcast clouds
287,Khatanga,RU,71.9667,102.5,290.72,48,56,2.41,broken clouds
288,Atambua,ID,-9.1061,124.8925,297.75,68,75,1.26,broken clouds
289,Camacha,PT,33.0833,-16.3333,293.83,78,20,3.09,few clouds
290,Goderich,CA,43.7501,-81.7165,300.68,73,62,3.09,broken clouds
291,Xique-Xique,BR,-10.8218,-42.7263,297.65,55,5,7.47,clear sky
292,Dunedin,NZ,-45.8742,170.5036,285.26,57,51,1.79,broken clouds
293,Poronaysk,RU,49.2167,143.1167,287.86,64,100,3.48,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,285.1,58,75,8.23,broken clouds
295,Provost,CA,52.3501,-110.2683,297.4,29,80,5.42,broken clouds
296,Trelew,AR,-43.249,-65.3051,282.32,34,0,2.07,clear sky
297,Wilmington,US,34.2257,-77.9447,301.47,78,51,0.45,broken clouds
298,Fort Nelson,CA,58.8053,-122.7002,294.92,37,75,5.14,light rain
299,Ferme-Neuve,CA,46.7001,-75.4493,300.03,84,85,2.08,overcast clouds
300,Mabaruma,GY,8.2,-59.7833,296.73,98,38,1.6,scattered clouds
301,Ullapool,GB,57.8987,-5.1604,287.56,98,98,1.13,overcast clouds
302,Robe,AU,-37.1833,139.75,286.85,62,70,10.67,broken clouds
303,Mar Del Plata,AR,-38.0023,-57.5575,280.16,76,75,4.12,broken clouds
304,Richards Bay,ZA,-28.783,32.0377,290.97,60,94,8.49,light rain
305,Peace River,CA,56.2501,-117.286,297.32,40,75,11.83,broken clouds
306,Tabriz,IR,38.08,46.2919,296.85,43,20,2.06,few clouds
307,Skovorodino,RU,53.9833,123.9167,289.76,68,77,1.49,broken clouds
308,Nueva Imperial,CL,-38.7333,-72.95,280.51,96,0,2.04,clear sky
309,Shitanjing,CN,39.2342,106.3439,294.82,28,61,3.33,broken clouds
310,Pechora,RU,65.1472,57.2244,280.75,95,5,2.28,clear sky
311,Moree,AU,-29.4667,149.85,287.16,72,90,4.63,overcast clouds
312,Gornopravdinsk,RU,60.05,69.9,286.01,99,67,2.06,light rain
313,Lagunas,PE,-5.2269,-75.6753,300.22,59,48,1.21,scattered clouds
314,Mehamn,NO,71.0357,27.8492,287.11,72,94,3.39,overcast clouds
315,Coahuayana,MX,18.7333,-103.6833,301.86,85,100,2.41,overcast clouds
316,Rantepao,ID,-2.9701,119.8978,294.43,90,64,0.21,broken clouds
317,Ayan,RU,56.45,138.1667,288.53,57,0,1.06,clear sky
318,Pafos,CY,34.7667,32.4167,300.03,54,0,1.03,clear sky
319,Karaton,ID,-6.3424,106.1045,296.24,90,77,0.42,broken clouds
320,Henties Bay,NA,-22.116,14.2845,284.18,92,21,2.86,few clouds
